,etablissement_code_commune,etablissement_commune,Dernier établissement,rentree,AgeBacAvanceOuATemps,AgeBacRetard
0,34172,Montpellier,Université de Montpellier,2006,0.7392942788626242,0.26070572113737583
1,75105,Paris  5e,Sorbonne Université,2006,0.570771954941039,0.42922804505896095
2,63113,Clermont-Ferrand,Université Clermont Auvergne,2006,0.600843183015885,0.39915681698411504
3,25056,Besançon,Université de Franche-Comté,2006,0.580667372881356,0.41933262711864405
4,75105,Paris  5e,Université Sorbonne Nouvelle - Paris 3,2006,0.4829485013453476,0.5170514986546524
5,10387,Troyes,Université de technologie de Troyes,2006,0.6268589454709329,0.37314105452906715
6,35238,Rennes,Université de Rennes 1,2006,0.6784713609847963,0.32152863901520373
7,72181,Le Mans,Le Mans Université,2006,0.584055459272097,0.41594454072790293
8,75116,Paris 16e,Université Paris Dauphine - PSL,2006,0.7082444472330279,0.291755552766972
9,83062,La Garde,Université de Toulon,2006,0.5324256911245063,0.46757430887549367
10,13207,Marseille  7e,Aix-Marseille Université,2006,0.6418851167454519,0.35811488325454804
11,33522,Talence,Université de Bordeaux,2006,0.6251811769253068,0.3748188230746932
12,75116,Paris 16e,Sorbonne Université,2006,0.6670910248249523,0.33290897517504775
13,54395,Nancy,Université de Lorraine,2006,0.5866859623733719,0.41331403762662805
14,21231,Dijon,Université de Bourgogne,2006,0.6023818820773136,0.3976181179226865
15,90094,Sevenans,Université de technologie de Belfort-Montbéliard,2006,0.6321147616844054,0.3678852383155946
16,59009,Villeneuve-d'Ascq,Université de Lille,2006,0.5844188886627315,0.4155811113372685
17,67482,Strasbourg,Université de Strasbourg,2006,0.6357689853222719,0.3642310146777281
18,59032,Aulnoy-lez-Valenciennes,Université Polytechnique Hauts-de-France,2006,0.5598413485374318,0.44015865146256816
19,78646,Versailles,Université de Versailles Saint-Quentin-en-Yvelines,2006,0.5740149833518313,0.4259850166481687
20,25056,Besançon,Université de Franche-Comté,2006,0.6659574468085107,0.33404255319148934
21,97120,Pointe-à-Pitre,,2006,0.48859822734704417,0.5114017726529558
22,67482,Strasbourg,Institut national des sciences appliquées de Strasbourg,2006,0.8390207715133531,0.1609792284866469
23,25056,Besançon,École nationale supérieure de mécanique et des microtechniques,2006,0.7943349753694581,0.20566502463054187
24,86194,Poitiers,Université de Poitiers,2006,0.5925583739291114,0.40744162607088863
25,59350,Lille,Université de Lille,2006,0.7006578947368421,0.2993421052631579
26,31555,Toulouse,Université Toulouse - Jean Jaurès,2006,0.7202978310132729,0.2797021689867271
27,87085,Limoges,Université de Limoges,2006,0.8361581920903954,0.1638418079096045
28,14118,Caen,Université de Caen Normandie,2006,0.5901327488524047,0.4098672511475952
29,75105,Paris  5e,IAE Paris - Sorbonne Business School,2006,0.5091292134831461,0.49087078651685395
30,59009,Villeneuve-d'Ascq,Centrale Lille Institut,2007,0.8069800569800569,0.19301994301994302
