annee_universitaire;composante_id_paysage;composante_lib;composante_id_uai;etablissement_id_paysage;etablissement_lib;composante_localisation;effectif;effectif_sans_cpge;effectif_total;effectif_total_sans_cpge;sexef;sexem;bac1;bac2;bac3;bac4;bac5;bac6;bac7;bac_ageavance;bac_agea_l_heure;bac_ageretard;bac_ageso;attrac_nat_dep_bac1;attrac_nat_dep_bac2;attrac_nat_dep_bac3;attrac_nat_dep_bac4;attrac_nat_dep_bac5;attrac_nat_dep_bac9;mobilite_internm;attrac_interne;gd_discisciplinedsa;gd_discisciplinellsh;gd_discisciplinesi;gd_discisciplinestaps;discipline02;discipline04;discipline05;discipline06;discipline32;discipline09;discipline15;discipline33;discipline10;composante_id_region;composante_region;composante_id_academie;composante_academie;rentree;annee
2013-14;y61Kl;INSPÉ de l'Académie de Lyon;0694198N;etBz7;Université Claude Bernard - Lyon 1;Auvergne-Rhône-Alpes>Lyon;1647;1647;1648;1648;1183;464;471;420;515;84;49;18;90;88;1094;375;90;597;430;509;18;3;90;75;70;36;1312;131;168;36;163;258;891;;46;85;;168;R84;Auvergne-Rhône-Alpes;A10;Lyon;2013;2014
2014-15;76xsv;INSPÉ Centre Val-de-Loire;0451724E;HCBvW;Université d'Orléans;Centre-Val de Loire>Orléans-Tours;1588;1588;1589;1589;1205;383;452;414;552;49;47;16;58;203;985;342;58;620;352;554;4;;58;32;32;11;1410;94;73;11;69;118;1218;5;15;75;4;73;R24;Centre-Val de Loire;A18;Orléans-Tours;2014;2015
2014-15;DGwMY;INSPÉ Normandie Rouen - Le Havre;0763448K;G4572;Université de Rouen Normandie;Normandie;1515;1515;1515;1515;1081;434;454;438;408;92;55;11;57;86;987;385;57;929;288;231;8;2;57;45;41;;1515;;;;;19;1496;;;;;;R28;Normandie;A70;Normandie;2014;2015
2014-15;KK7hH;INSPÉ de l'Académie de Limoges;0875078X;nkbwh;Université de Limoges;Nouvelle-Aquitaine>Limoges;581;581;581;581;422;159;177;151;170;24;13;2;44;19;397;121;44;246;181;106;4;;44;43;42;;581;;;;;;581;;;;;;R75;Nouvelle-Aquitaine;A22;Limoges;2014;2015
2014-15;KT6Wc;INSPÉ de l'Académie de Reims;0512146F;57OsX;Université de Reims Champagne-Ardenne;Grand Est>Reims;976;976;976;976;687;289;264;240;325;61;50;11;25;59;647;245;25;434;362;150;5;;25;19;18;;976;;;;;;976;;;;;;R44;Grand Est;A19;Reims;2014;2015
2014-15;RIRbW;INSPÉ Bretagne;0352863X;pfa6S;Université européenne de Bretagne;Bretagne>Rennes;2862;2862;2868;2868;1918;944;888;721;951;98;90;20;94;139;1940;689;94;1102;755;891;20;;94;82;67;26;2495;192;149;26;202;164;2129;;77;115;;149;R53;Bretagne;A14;Rennes;2014;2015
2014-15;lZH01;INSPÉ de l'Académie de Paris;0755736C;kvciR;Université Paris-Sorbonne;Île-de-France>Paris;2929;2929;2931;2931;2131;798;1135;634;783;90;57;18;212;213;1840;664;212;509;1012;1130;66;;212;186;172;;2574;296;59;;56;119;2399;;136;160;;59;R11;Île-de-France;A01;Paris;2014;2015
2014-15;qCGMW;INSPÉ de l'académie de Guadeloupe;9711244A;z3hdL;Université des Antilles;Guadeloupe;509;509;511;511;394;115;165;80;177;49;20;11;7;33;279;190;7;413;39;48;2;;7;3;3;;509;;;;;;509;;;;;;R01;Guadeloupe;A32;Guadeloupe;2014;2015
2015-16;68SKK;INSPÉ de l'Académie de Bordeaux;0333296D;90I54;Université de Bordeaux;Nouvelle-Aquitaine>Bordeaux;2981;2981;2991;2991;2080;901;863;772;1000;100;106;29;111;178;2023;669;111;1119;681;1042;28;;111;100;93;;2981;;;;184;188;2609;;;;;;R75;Nouvelle-Aquitaine;A04;Bordeaux;2015;2016
2015-16;DGwMY;INSPÉ Normandie Rouen - Le Havre;0763448K;G4572;Université de Rouen Normandie;Normandie;1729;1729;1733;1733;1207;522;484;504;509;99;55;18;60;86;1136;447;60;1054;326;276;13;;60;41;35;;1729;;;;;22;1707;;;;;;R28;Normandie;A70;Normandie;2015;2016
