Type d'établissement;Nombre d'étudiants inscrits (inscriptions principales) y compris doubles inscriptions CPGE;Âge au baccalauréat : En avance au bac d'un an ou plus;Âge au baccalauréat : A l'heure;Âge au baccalauréat : En retard au bac d'un an ou plus;Âge au baccalauréat : Non renseigné ou non bachelier;etablissement_code_commune;etablissement_commune;Dernier établissement;rentree
Autre établissement;2931;216;1942;675;86;34172;Montpellier;Université de Montpellier;2006
Université;29123;2586;12564;4998;6395;75105;Paris  5e;Sorbonne Université;2006
Université;13347;690;7291;3080;2222;63113;Clermont-Ferrand;Université Clermont Auvergne;2006
Université;19017;721;10242;5800;2117;25056;Besançon;Université de Franche-Comté;2006
Université;16419;1093;6625;3451;4812;75105;Paris  5e;Université Sorbonne Nouvelle - Paris 3;2006
École;2219;138;1253;301;527;10387;Troyes;Université de technologie de Troyes;2006
Université;22842;1329;13442;5024;1976;35238;Rennes;Université de Rennes 1;2006
Université;8542;326;4392;2347;1013;72181;Le Mans;Le Mans Université;2006
Grand établissement;7971;881;4763;1114;1211;75116;Paris 16e;Université Paris Dauphine - PSL;2006
Université;9671;363;4760;3017;1482;83062;La Garde;Université de Toulon;2006
Université;20991;1890;11553;5234;2266;13207;Marseille  7e;Aix-Marseille Université;2006
Université;10352;765;5705;2690;1189;33522;Talence;Université de Bordeaux;2006
Autre établissement;4714;404;2740;1304;265;75116;Paris 16e;Sorbonne Université;2006
Université;17412;652;9483;5129;2011;54395;Nancy;Université de Lorraine;2006
Université;26167;1185;14242;7137;3046;21231;Dijon;Université de Bourgogne;2006
École;2161;100;1266;455;340;90094;Sevenans;Université de technologie de Belfort-Montbéliard;2006
Université;19795;1042;10443;6234;1933;59009;Villeneuve-d'Ascq;Université de Lille;2006
Université;18846;989;10966;3376;3473;67482;Strasbourg;Université de Strasbourg;2006
Université;10229;437;5209;3360;1079;59032;Aulnoy-lez-Valenciennes;Université Polytechnique Hauts-de-France;2006
Université;14450;860;7415;4636;1505;78646;Versailles;Université de Versailles Saint-Quentin-en-Yvelines;2006
Autre établissement;1410;56;883;331;140;25056;Besançon;Université de Franche-Comté;2006
Université;11904;626;5052;4663;1280;97120;Pointe-à-Pitre;;2006
École;1348;105;1026;145;72;67482;Strasbourg;Institut national des sciences appliquées de Strasbourg;2006
École;812;55;590;134;33;25056;Besançon;École nationale supérieure de mécanique et des microtechniques;2006
Université;24167;1137;12973;6222;3480;86194;Poitiers;Université de Poitiers;2006
Université;22803;1961;14014;4701;2124;59350;Lille;Université de Lille;2006
