,age,dates,anxiete,anxiete_inf,anxiete_sup,depression,depression_inf,depression_sup,pbsommeil,pbsommeil_inf,pbsommeil_sup,ps12mois,ps12mois_inf,ps12mois_sup
0,18-24 ans,2020-03-24,33.1,26.8,40.0,,,,,,,,,
1,25-34 ans,2020-03-24,37.5,32.2,43.1,,,,,,,,,
2,35-49 ans,2020-03-24,32.0,28.1,36.2,,,,,,,,,
3,50-64 ans,2020-03-24,21.4,18.0,25.2,,,,,,,,,
4,65 ans et plus,2020-03-24,17.0,13.9,20.7,,,,,,,,,
5,18-24 ans,2020-03-30,22.5,16.8,29.5,16.5,11.7,22.9,68.5,61.1,75.0,,,
6,25-34 ans,2020-03-30,25.9,21.2,31.3,23.5,19.0,28.8,64.6,58.9,69.9,,,
7,35-49 ans,2020-03-30,25.0,21.5,28.9,23.7,20.2,27.5,68.4,54.3,72.2,,,
8,50-64 ans,2020-03-30,18.4,15.3,21.9,19.5,16.3,23.1,56.5,52.2,60.7,,,
9,65 ans et plus,2020-03-30,17.7,14.6,21.4,15.3,12.3,18.8,53.6,49.1,58.1,,,
10,18-24 ans,2020-04-15,24.2,18.4,31.2,21.7,16.0,28.7,70.6,63.3,76.9,,,
11,25-34 ans,2020-04-15,20.3,16.2,25.1,20.1,16.1,24.9,68.3,62.9,73.2,,,
12,35-49 ans,2020-04-15,20.6,17.3,24.5,18.7,15.5,22.4,67.0,62.7,71.0,,,
13,50-64 ans,2020-04-15,16.0,13.1,29.4,18.9,15.7,22.5,63.1,58.8,67.2,,,
14,65 ans et plus,2020-04-15,13.8,11.0,17.1,11.7,9.1,14.8,54.7,50.3,59.1,,,
15,18-24 ans,2020-04-21,28.2,22.0,35.4,22.9,17.2,29.8,73.4,66.4,79.4,,,
16,25-34 ans,2020-04-21,18.6,14.7,23.4,21.3,17.2,26.2,72.0,66.8,76.7,,,
17,35-49 ans,2020-04-21,20.8,17.5,24.7,20.1,16.8,23.9,67.4,63.2,71.4,,,
18,50-64 ans,2020-04-21,15.9,12.9,19.3,20.5,17.2,24.2,64.3,60.0,68.4,,,
19,65 ans et plus,2020-04-21,16.1,13.1,19.7,19.0,15.7,22.8,62.6,58.2,66.9,,,
20,18-24 ans,2020-04-29,26.4,20.4,33.3,28.9,22.8,36.0,79.9,73.4,85.2,,,
