,reg,dates,anxiete,depression,pbsommeil,ps12mois
0,11,2020-03-24,30.1,,,
1,24,2020-03-24,24.3,,,
2,27,2020-03-24,33.0,,,
3,28,2020-03-24,24.7,,,
4,32,2020-03-24,29.6,,,
5,44,2020-03-24,29.5,,,
6,52,2020-03-24,26.3,,,
7,53,2020-03-24,25.0,,,
8,75,2020-03-24,22.9,,,
9,76,2020-03-24,22.6,,,
10,84,2020-03-24,26.4,,,
11,93,2020-03-24,22.7,,,
12,11,2020-03-30,19.4,20.6,63.5,
13,24,2020-03-30,22.4,27.7,61.7,
14,27,2020-03-30,17.6,17.8,55.0,
15,28,2020-03-30,22.8,19.0,60.9,
16,32,2020-03-30,22.6,16.4,64.9,
17,44,2020-03-30,26.4,25.2,60.5,
18,52,2020-03-30,17.9,14.6,57.2,
19,53,2020-03-30,19.3,21.4,63.3,
20,75,2020-03-30,17.9,17.8,60.1,
21,76,2020-03-30,26.1,23.5,58.1,
22,84,2020-03-30,22.9,18.5,62.2,
23,93,2020-03-30,21.6,17.2,61.7,
24,11,2020-04-15,17.8,20.3,62.1,
25,24,2020-04-15,22.8,18.5,67.7,
26,27,2020-04-15,17.5,18.0,61.4,
27,28,2020-04-15,26.0,19.5,72.2,
28,32,2020-04-15,22.8,20.0,68.5,
29,44,2020-04-15,16.8,17.5,63.4,
30,52,2020-04-15,17.6,13.8,65.5,
31,53,2020-04-15,15.3,18.6,64.9,
32,75,2020-04-15,18.1,18.4,67.6,
33,76,2020-04-15,17.0,18.9,57.1,
34,84,2020-04-15,15.8,11.9,59.5,
35,93,2020-04-15,15.2,15.1,62.6,
36,11,2020-04-21,16.7,19.2,64.6,
37,24,2020-04-21,16.1,23.5,71.4,
38,27,2020-04-21,18.9,21.8,65.3,
39,28,2020-04-21,14.9,18.4,66.7,
40,32,2020-04-21,24.9,18.8,72.0,
41,44,2020-04-21,24.9,25.8,64.4,
42,52,2020-04-21,20.5,24.2,65.2,
43,53,2020-04-21,15.3,22.4,71.4,
44,75,2020-04-21,17.2,14.5,60.8,
45,76,2020-04-21,19.3,18.3,67.1,
46,84,2020-04-21,20.5,21.9,71.7,
47,93,2020-04-21,14.6,21.6,64.7,
48,11,2020-04-29,21.5,21.3,69.3,
49,24,2020-04-29,18.3,12.8,67.5,
50,27,2020-04-29,15.9,22.3,70.0,
51,28,2020-04-29,28.3,25.8,74.8,
52,32,2020-04-29,16.3,15.6,68.0,
53,44,2020-04-29,19.8,23.5,65.4,
54,52,2020-04-29,13.3,16.4,58.3,
55,53,2020-04-29,13.5,18.3,64.5,
56,75,2020-04-29,15.3,14.2,59.5,
57,76,2020-04-29,18.0,22.8,66.1,
58,84,2020-04-29,17.7,18.1,68.0,
59,93,2020-04-29,15.3,18.3,59.5,
60,11,2020-05-05,15.8,19.8,64.6,
61,24,2020-05-05,12.2,18.1,68.2,
62,27,2020-05-05,20.7,15.8,72.6,
63,28,2020-05-05,18.9,25.1,71.2,
64,32,2020-05-05,20.4,22.1,67.8,
65,44,2020-05-05,21.3,18.6,59.7,
66,52,2020-05-05,19.6,19.4,58.6,
67,53,2020-05-05,19.2,15.9,65.0,
68,75,2020-05-05,18.3,18.7,64.3,
69,76,2020-05-05,16.0,12.4,71.5,
