,sexe,dates,anxiete,depression,pbsommeil,ps12mois
0,Homme,2020-03-24,21.3,,,
1,Femme,2020-03-24,31.6,,,
2,Homme,2020-03-30,16.6,18.5,54.2,
3,Femme,2020-03-30,26.0,21.1,67.8,
4,Homme,2020-04-15,14.4,15.3,57.2,
5,Femme,2020-04-15,21.5,19.7,69.5,
6,Homme,2020-04-21,13.6,17.6,60.6,
7,Femme,2020-04-21,23.7,23.0,72.4,
8,Homme,2020-04-29,14.7,18.0,59.5,
9,Femme,2020-04-29,21.2,20.5,72.0,
10,Homme,2020-05-05,15.1,15.7,60.4,
11,Femme,2020-05-05,21.4,21.2,71.6,
12,Homme,2020-05-14,15.7,13.4,63.0,
13,Femme,2020-05-14,19.3,14.7,71.0,
14,Homme,2020-05-19,12.9,10.2,56.0,
15,Femme,2020-05-19,20.5,13.7,69.0,
16,Homme,2020-05-28,13.4,12.2,60.3,
17,Femme,2020-05-28,19.3,12.3,71.5,
18,Homme,2020-06-09,14.8,9.8,58.1,
19,Femme,2020-06-09,17.0,12.8,70.3,
20,Homme,2020-06-23,12.2,10.9,55.6,
21,Femme,2020-06-23,17.7,11.4,68.3,
22,Homme,2020-07-07,11.7,9.4,59.1,
23,Femme,2020-07-07,21.9,11.7,71.0,
24,Homme,2020-07-21,12.42423,11.4123,58.93834999999999,
25,Femme,2020-07-21,22.23151,11.85933,68.90962,
26,Homme,2020-08-25,13.4,10.5,56.6,
27,Femme,2020-08-25,21.2,12.9,71.8,
28,Homme,2020-09-22,14.8,10.7,58.6,
29,Femme,2020-09-22,21.0,11.2,72.3,
30,Homme,2020-10-20,14.9,13.0,58.1,
31,Femme,2020-10-20,22.9,17.9,70.3,
32,Homme,2020-11-04,16.2,18.2,56.6,
33,Femme,2020-11-04,25.0,22.8,69.0,
34,Homme,2020-11-24,14.0,19.2,58.3,
35,Femme,2020-11-24,22.7,25.6,72.5,
36,Homme,2020-12-15,14.6,16.5,58.7,
37,Femme,2020-12-15,25.4,24.2,73.1,
38,Homme,2021-01-19,16.3,18.0,61.4,
39,Femme,2021-01-19,21.9,20.8,72.1,
40,Homme,2021-02-14,19.4,21.6,59.6,9.5
41,Femme,2021-02-14,25.7,23.7,71.3,7.1
42,Homme,2021-03-16,16.2,18.4,59.5,9.2
43,Femme,2021-03-16,24.9,21.9,70.7,8.7
44,Homme,2021-04-22,18.3,19.6,58.0,10.2
45,Femme,2021-04-22,25.9,24.3,69.6,8.7
46,Homme,2021-05-18,15.2,15.4,57.9,7.5
47,Femme,2021-05-18,25.5,22.3,68.8,9.3
48,Homme,2021-06-27,15.0,13.6,58.0,7.3
49,Femme,2021-06-27,22.5,16.4,73.8,10.9
50,Homme,2021-07-17,16.7,11.9,53.4,11.1
51,Femme,2021-07-17,21.9,13.7,64.5,7.3
52,Homme,2021-08-01,20.2,12.5,56.0,9.2
53,Femme,2021-08-01,26.2,17.2,69.3,10.4
54,Homme,2021-10-01,20.3,13.9,63.6,10.6
55,Femme,2021-10-01,30.9,18.5,75.4,8.8
